x1,x2,z
20,20,1.43443e+09
20,20.1,1.41761e+09
20,20.2,1.40083e+09
20,20.3,1.38411e+09
20,20.4,1.36743e+09
20,20.5,1.3508e+09
20,20.6,1.33423e+09
20,20.7,1.3177e+09
20,20.8,1.30123e+09
20,20.9,1.28481e+09
20,21,1.26845e+09
20,21.1,1.25214e+09
20,21.2,1.23589e+09
20,21.3,1.21969e+09
20,21.4,1.20356e+09
20,21.5,1.18748e+09
20,21.6,1.17146e+09
20,21.7,1.15551e+09
20,21.8,1.13961e+09
20,21.9,1.12378e+09
20,22,1.10802e+09
20,22.1,1.09232e+09
20,22.2,1.07669e+09
20,22.3,1.06112e+09
20,22.4,1.04562e+09
20,22.5,1.03019e+09
20,22.6,1.01483e+09
20,22.7,9.99544e+08
20,22.8,9.84329e+08
20,22.9,9.69187e+08
20,23,9.54119e+08
20,23.1,9.39126e+08
20,23.2,9.2421e+08
20,23.3,9.09371e+08
20,23.4,8.94611e+08
20,23.5,8.7993e+08
20,23.6,8.65329e+08
20,23.7,8.5081e+08
20,23.8,8.36373e+08
20,23.9,8.2202e+08
20,24,8.07751e+08
20,24.1,7.93568e+08
20,24.2,7.79472e+08
20,24.3,7.65463e+08
20,24.4,7.51544e+08
20,24.5,7.37714e+08
20,24.6,7.23975e+08
20,24.7,7.10328e+08
20,24.8,6.96774e+08
20,24.9,6.83314e+08
20,25,6.6995e+08
20,25.1,6.56681e+08
20,25.2,6.4351e+08
20,25.3,6.30438e+08
20,25.4,6.17465e+08
20,25.5,6.04592e+08
20,25.6,5.91821e+08
20,25.7,5.79154e+08
20,25.8,5.66589e+08
20,25.9,5.5413e+08
20,26,5.41777e+08
20,26.1,5.29532e+08
20,26.2,5.17394e+08
20,26.3,5.05366e+08
20,26.4,4.93448e+08
20,26.5,4.81642e+08
20,26.6,4.69949e+08
20,26.7,4.5837e+08
20,26.8,4.46906e+08
20,26.9,4.35557e+08
20,27,4.24327e+08
20,27.1,4.13214e+08
20,27.2,4.02221e+08
20,27.3,3.91349e+08
20,27.4,3.96273e+08
20,27.5,3.73666e+08
20,27.6,3.66784e+08
20,27.7,3.59952e+08
20,27.8,3.53172e+08
20,27.9,3.46444e+08
20,28,3.39767e+08
20,28.1,3.33142e+08
20,28.2,3.26571e+08
20,28.3,3.20052e+08
20,28.4,3.13587e+08
20,28.5,3.07175e+08
20,28.6,3.00818e+08
20,28.7,2.94515e+08
20,28.8,2.88267e+08
20,28.9,2.82075e+08
20,29,2.75938e+08
20,29.1,2.69857e+08
20,29.2,2.63833e+08
20,29.3,2.57866e+08
20,29.4,2.51956e+08
20,29.5,2.46104e+08
20,29.6,2.40309e+08
20,29.7,2.34573e+08
20,29.8,2.28896e+08
20,29.9,2.23279e+08
20,30,2.1772e+08
20,30.1,2.12222e+08
20,30.2,2.06784e+08
20,30.3,2.01407e+08
20,30.4,1.96091e+08
20,30.5,1.90837e+08
20,30.6,1.85645e+08
20,30.7,1.80515e+08
20,30.8,1.75447e+08
20,30.9,1.70443e+08
20,31,1.65503e+08
20,31.1,1.60626e+08
20,31.2,1.55814e+08
20,31.3,1.51067e+08
20,31.4,1.46384e+08
20,31.5,1.41768e+08
20,31.6,1.37217e+08
20,31.7,1.32733e+08
20,31.8,1.28315e+08
20,31.9,1.23965e+08
20,32,1.19682e+08
20,32.1,1.15467e+08
20,32.2,1.11321e+08
20,32.3,1.07243e+08
20,32.4,1.03235e+08
20,32.5,9.92958e+07
20,32.6,9.54271e+07
20,32.7,9.16288e+07
20,32.8,8.79014e+07
20,32.9,8.42453e+07
20,33,8.06608e+07
20,33.1,7.71484e+07
20,33.2,7.37086e+07
20,33.3,7.03417e+07
20,33.4,6.70482e+07
20,33.5,6.38284e+07
20,33.6,6.06828e+07
20,33.7,5.76118e+07
20,33.8,5.46158e+07
20,33.9,5.16953e+07
20,34,4.88506e+07
20,34.1,4.60822e+07
20,34.2,4.33905e+07
20,34.3,4.0776e+07
20,34.4,3.8239e+07
20,34.5,3.57799e+07
20,34.6,3.33993e+07
20,34.7,3.10975e+07
20,34.8,2.8875e+07
20,34.9,2.67321e+07
20,35,2.46694e+07
20,35.1,2.26872e+07
20,35.2,2.07859e+07
20,35.3,1.89661e+07
20,35.4,1.72281e+07
20,35.5,1.55723e+07
20,35.6,1.39993e+07
20,35.7,1.25094e+07
20,35.8,1.1103e+07
20,35.9,9.78063e+06
20,36,8.54269e+06
20,36.1,7.38962e+06
20,36.2,6.32185e+06
20,36.3,5.33982e+06
20,36.4,4.44398e+06
20,36.5,3.63475e+06
20,36.6,2.91258e+06
20,36.7,2.27791e+06
20,36.8,1.73118e+06
20,36.9,1.27284e+06
20,37,903312
20,37.1,623058
20,37.2,432516
20,37.3,332131
20,37.4,322348
20,37.5,403615
20,37.6,576378
20,37.7,841085
20,37.8,1.19818e+06
20,37.9,1.64813e+06
20,38,2.19136e+06
20,38.1,2.82833e+06
20,38.2,3.5595e+06
20,38.3,4.38532e+06
20,38.4,5.30623e+06
20,38.5,6.3227e+06
20,38.6,7.43517e+06
20,38.7,8.64411e+06
20,38.8,9.94996e+06
20,38.9,1.13532e+07
20,39,1.28543e+07
20,39.1,1.44536e+07
20,39.2,1.61517e+07
20,39.3,1.7949e+07
20,39.4,1.9846e+07
20,39.5,2.18431e+07
20,39.6,2.39408e+07
20,39.7,2.61395e+07
20,39.8,2.84398e+07
20,39.9,3.0842e+07
20.1,20,1.41605e+09
20.1,20.1,1.39409e+09
20.1,20.2,1.37744e+09
20.1,20.3,1.36084e+09
20.1,20.4,1.3443e+09
20.1,20.5,1.3278e+09
20.1,20.6,1.31135e+09
20.1,20.7,1.29496e+09
20.1,20.8,1.27861e+09
20.1,20.9,1.26233e+09
20.1,21,1.24609e+09
20.1,21.1,1.22992e+09
20.1,21.2,1.2138e+09
20.1,21.3,1.19774e+09
20.1,21.4,1.18174e+09
20.1,21.5,1.1658e+09
20.1,21.6,1.14991e+09
20.1,21.7,1.1341e+09
20.1,21.8,1.11834e+09
20.1,21.9,1.10265e+09
20.1,22,1.08702e+09
20.1,22.1,1.07146e+09
20.1,22.2,1.05596e+09
20.1,22.3,1.04054e+09
20.1,22.4,1.02518e+09
20.1,22.5,1.00989e+09
20.1,22.6,9.94673e+08
20.1,22.7,9.79527e+08
20.1,22.8,9.64454e+08
20.1,22.9,9.49456e+08
20.1,23,9.34532e+08
20.1,23.1,9.19684e+08
20.1,23.2,9.04913e+08
20.1,23.3,8.9022e+08
20.1,23.4,8.75606e+08
20.1,23.5,8.61072e+08
20.1,23.6,8.46619e+08
20.1,23.7,8.32248e+08
20.1,23.8,8.17961e+08
20.1,23.9,8.03757e+08
20.1,24,7.89639e+08
20.1,24.1,7.75607e+08
20.1,24.2,7.61662e+08
20.1,24.3,7.47806e+08
20.1,24.4,7.34039e+08
20.1,24.5,7.20362e+08
20.1,24.6,7.06777e+08
20.1,24.7,6.93285e+08
20.1,24.8,6.79886e+08
20.1,24.9,6.66582e+08
20.1,25,6.53374e+08
20.1,25.1,6.40263e+08
20.1,25.2,6.2725e+08
20.1,25.3,6.14336e+08
20.1,25.4,6.01522e+08
20.1,25.5,5.88809e+08
20.1,25.6,5.76199e+08
20.1,25.7,5.63691e+08
20.1,25.8,5.51289e+08
20.1,25.9,5.38992e+08
20.1,26,5.26802e+08
20.1,26.1,5.1472e+08
20.1,26.2,5.02746e+08
20.1,26.3,4.90883e+08
